English (GB)	Deutsch (DE)	Français (FR)	Italiano (IT)	Suomalainen (FI)	Nederlands (NL)	Polski (PL)	Dansk (DK)	한국어 (KO)	Svenska (SE)	日本語 (JA)	Español (ES)
Homing fail: the interrupt bar was triggered during the homing cycle.	Homing fail: die Stoppleiste wurde während des Homing-Zyklus ausgelöst.	Échec de la prise d'origine : la barre d'arrêt a été déclenchée pendant le cycle.	Homing fail: la barra di sicurezza è stata attivata durante il ciclo di homing.	Homing fail: pysäytyspalkki laukaistiin homing-syklin aikana.	Homing fail: de stopbar werd geactiveerd tijdens de homing cycle.	Błąd bazowania. Poprzeczny wyłącznik bezpieczeństwa został aktywowany podczas cyklu bazowania.	Fejl ved hjemfinding: Stopbjælken blev udløst under hjemfinding.	원점복귀 실패: 원점 복귀중 안전막대가 작동 되었습니다.	Fel vid nollställning:  Kollisionsskyddet utlöstes under en nollställningsprocess	ホーミング失敗: ホーミングサイクル中に割り込みバーがトリガーされました。	Fallo de búsqueda: la barra de interrupción se ha disparado durante el ciclo de búsqueda.
Homing fail: during the homing cycle, an axis failed to clear the limit switch when pulling off.	Homing fail: während des Homing-Zyklus hat eine Achse beim zurück Fahren den Endschalter nicht freigegeben.	Échec de la prise d'origine : pendant le cycle, un axe n'a pas réussi à franchir le commutateur de fin de course lors du retrait.	Homing fail: durante il ciclo di homing, un asse non è riuscito a liberare il finecorsa quando in arretramento.	Homing fail: Homing-syklin aikana jokin akseli ei poistanut rajakytkintä vetäessään.	Homing fail: tijdens de homing cycle is een as er niet in geslaagd de eindschakelaar te wissen bij het aftrekken.	Błąd bazowania. Podczas procesu bazowania oś Z nie zresetowała stanu wyłącznika krańcowego.	Fejl ved hjemfinding: Under hjemfinding kunne en akse ikke frigøre slutkontakten, når den trak sig ud.	원점복귀 실패: 원점복귀 주기 동안 축의 멈춤 위치를 찾지 못했습니다.	Fel vid nollställning: Under en nollställningscyekl misslyckades en axel med att rensa ändlägesbrytare när den skulle lämna.	ホーミング失敗: ホーミングサイクル中に、軸が引き離すときにリミットスイッチをクリアできませんでした。	Fallo de búsqueda: durante el ciclo de búsqueda, un eje no ha borrado el final de la ruta al arrancar.
Homing fail: could not find the limit switch within search distance.	Homing Fail: konnte den Endschalter nicht innerhalb der Suchstrecke finden.	Échec de la prise d'origine : l'interrupteur de fin de course n'a pas pu être trouvé dans la distance de recherche.	Homing fail: non è stato possibile trovare il finecorsa entro la distanza di ricerca.	Homing fail: rajakytkintä ei löytynyt hakuetäisyydellä.	Homing fail: kon de eindschakelaar niet binnen de zoekafstand vinden.	Błąd bazowania. Nie znaleziono wyłącznika krańcowego w przeszukiwanym obszarze.	Fejl ved hjemfinding: kunne ikke finde grænsekontakten inden for søgeafstanden.	귀환 실패 : 검색 거리 내에서 멈춤 위치를 찾을 수 없습니다.	Fel vid nollställning: Kunde inte hitta ändlägesbrytaren inom sökavståndet.	ホーミング失敗: 検索距離内にリミット スイッチが見つかりませんでした。	Fallo de búsqueda: no se ha podido encontrar el final de la ruta dentro del límite de búsqueda.
Homing fail: on dual axis machines, could not find the second limit switch for self-squaring.	Homing Fail: bei zweiachsigen Maschinen konnte der zweite Endschalter für die Selbstausrichtung nicht gefunden werden.	Echec de la prise d'origine : sur les machines à deux axes, le deuxième interrupteur de fin de course n'a pas pu être trouvé pour l'équerrage	Homing fail: su macchine a due assi, non è riuscito a trovare il secondo interruttore di fine corsa per l'autosquadratura.	Homing fail: Kaksiakselisissa koneissa ei löydetty toista rajakytkintä itseselvitystä varten.	Homing fail: op machines met twee assen, kon de tweede eindschakelaar niet gevonden worden voor zelfvrijgave.	Błąd bazowania. Przy maszynach dwuosiowych nie znaleziono drugiego wyłącznika krańcowego wymaganego do automatycznej regulacji prostopadłości osi.	Fejl ved hjemfinding: På toakse-maskiner kunne den anden slutkontakt til selvudligning ikke findes.	귀환 실패 : 이중 축 기계에서 자체 제곱을 위한 두 번째 멈춤 위치를 찾을 수 없었습니다.	Fel vid nollställning: På tvåaxliga maskiner kunde man inte hitta den andra ändlägesbrytaren för automatisk nollställning.	ホーミング失敗: 2 軸マシンで、自己二乗のための 2 番目のリミット スイッチが見つかりませんでした。	Fallo de referencia: en máquinas de doble eje, no se pudo encontrar el segundo interruptor de límite para el autocuadrado.
Loading report...	Bericht laden...	Rapport de chargement	Caricando il report…	Raportin lataaminen...	Laadmelding...	Ładowanie raportu…	Indlæser rapport...	로드 레포트	Laddar rapport...	レポートを読み込んでいます...	Cargando informe...
Alarm report	Alarm-Bericht	Rapport d'erreur	Report di allarme	Hälytysraportti	Alarmmelding	Raport alarmowy	Alarmrapport	알람 레포트	Larmrapport	アラームレポート	Informe de alarma
Unexpected limit reached:	Unerwartetes Limit erreicht:	Limite inattendue atteinte :	Raggiunto limite inaspettato	Odottamaton raja saavutettu:	Onverwachte limiet bereikt:	Osiągnięto nieoczekiwaną granicę:	Uventet grænse nået:	예상치 못한 위치에 멈춤 :	Oväntad gräns har nåtts:	予期しない制限に達しました:	Se ha alcanzado un límite inesperado:
X home	X-Referenz	origine X	X Home	X-koti	X home	X Bazowanie	X hjem	X 원점	X hemmaläge	X ホーム	X inicio
X max	X max	X max	X max	X max	X max	Pozycja X=Max	X max	X 최대	X max	X マックス	X máximo
Y home	Y-Referenz	origine Y	Y Home	Y koti	Y thuis	Y Bazowanie	Y hjem	y 원점	Y hemmaläge	Y家	Y inicio
Y max	Y max	Y max	Y max	Y max	Y max	Pozycja Y=Max	Y max	Y 최대	Y max	Y最大	Y máximo
Z home	Z-Referenz	Origine Z	Z Home	Z koti	Thuis Z	Z Bazowanie	Z hjem	Z 원점	Z hemmaläge	Zホーム	Z inicio
Unknown	Unbekannt	Inconnu	Sconosciuto	Tuntematon	Onbekend	Nieznany	Ukendt	새로운	Okänd	未知	Desconocido
Software version:	Software-Version:	Version du logiciel :	Versione software:	Ohjelmiston versio:	Software versie:	Wersja oprogramowania:	Softwareversion:	소프트웨어 버전:	Programversion	ソフトウェアバージョン：	Versión del software:
Firmware version:	Firmware-Version:	Version du Firmware :	Versione firmware:	Ohjelmistoversio: Laiteohjelmiston versio:	Firmware-versie:	Wersja oprogramowania układowego:	Firmwareversion:	펌웨어 버전:	Firmware version:	ファームウェアのバージョン:	Versión del firmware:
Hardware version:	Hardware-Version:	Version du matériel :	Versione hardware: Versione hardware:	Laitteistoversio: Laitteistoversio:	Hardware versie:	Wersja sprzętowa:	Hardwareversion:	하드웨어 버전 :	Hårdvaruversion:	ハードウェアバージョン:	Versión de hardware:
Serial number:	Seriennummer:	Numéro de série :	Numero di serie:	Sarjanumero:	Serienummer:	Numer seryjny:	Serienummer:	일련번호 :	Serienummer:	シリアルナンバー：	Número de serie:
Alarm code:	Alarm-Code:	Code erreur :	Codice allarme:	Hälytyskoodi:	Alarmcode:	Kod alarmu:	Alarmkode:	알람 코드 :	Larmkod:	アラームコード:	Código de alarma:
Alarm description:	Alarm-Beschreibung:	Description de l'erreur :	Descrizione dell'allarme:	Hälytyksen kuvaus:	Beschrijving van het alarm:	Opis alarmu:	Beskrivelse af alarmen:	알람 설명 :	Larmbeskrivning	アラームの説明:	Descripción de la alarma:
Status cache:	Status-Zwischenspeicher:	Etat du cache :	Cache di stato:	Tilavälimuisti:	Status cache:	Pamięć podręczna statusu:	Statuscache:	저장 상태 :	Cachestatus	ステータスキャッシュ:	Estado de Caché:
Alarm: Unexpected event!	Alarm: Unerwartetes Ereignis!	Erreur : Événement inattendu !	Allarme: Evento inaspettato!	Hälytys: Hälytys: Odottamaton tapahtuma!	Alarm: Onverwachte gebeurtenis!	Alarm: Nieoczekiwane zdarzenie!	Alarm: Uventet hændelse!	알람: 예상치 못한 상황!	Larm: Oväntad händelse!	警報: 予期せぬ出来事!	Alarma: ¡Un evento inesperado!
Alarm: Record details	Alarm: Details aufzeichnen	Erreur : Enregistrer les détails	Allarme: Registro dettagli	Hälytys: Tallenna tiedot	Alarm: Details opnemen	Alarm: Szczegóły zapisu	Alarm: Optag detaljer	알람: 세부사항 기록	Larm: Registrerar detaljer	アラーム: レコードの詳細	Alarma: Registrar detalles
Record the alarm report for diagnosis and support. Take a photo of the report on the next screen, or insert a USB stick now to download it.	Zeichnen Sie den Alarmbericht für Diagnose und Support auf. Fotografieren Sie den Bericht auf dem nächsten Bildschirm, oder stecken Sie jetzt einen USB-Stick ein, um ihn herunterzuladen.	Enregistrez le rapport d'erreur pour le diagnostic et l'assistance. Prenez une photo du rapport sur l'écran suivant, ou insérez une clé USB  pour le télécharger.	Registra il rapporto dell'allarme per la diagnosi e il supporto. Scatta una foto del rapporto nella schermata successiva o inserisci ora una chiavetta USB per scaricarlo.	Tallenna hälytysraportti diagnoosia ja tukea varten. Ota kuva raportista seuraavassa näytössä tai aseta USB-tikku nyt ladataksesi sen.	Neem het alarmrapport op voor diagnose en ondersteuning. Maak een foto van het rapport op het volgende scherm, of steek er nu een USB-stick in om het te downloaden.	Proszę zapisz raport alarmu dla pomocy technicznej. Proszę zrób zdjęcie raportu lub włóż teraz USB, aby go zapisać na pamięci.	Registrer alarmrapporten med henblik på diagnose og støtte. Tag et foto af rapporten på næste skærmbillede, eller indsæt et USB-stik nu for at downloade den.	진단 및 지원에 대한 알람 보고서를 기록 하십시오. 다음 화면에서 보고서 사진을 찍거나 지금 USB 스틱을 삽입하여 다운로드 하십시오.	Registrera larmrapporten för diagnos och hjälp. Ta ett foto av rapporten på nästa skärm, eller sätt in ett USB-minne nu för att ladda ner den.	診断とサポートのためにアラーム レポートを記録します。次の画面でレポートの写真を撮るか、USB スティックを挿入してダウンロードします。	Graba el informe de la alarma para el diagnóstico y la asistencia. Haz una foto del informe en la siguiente pantalla o inserta una memoria USB ahora para descargarlo.
Alarm: Learn more...	Alarm: Mehr erfahren...	Erreur : en savoir plus	Allarme: Scopri di più...	Hälytys: Lisätietoja...	Alarm: Meer weten...	Alarm: Dowiedz się więcej...	Alarm: Læs mere...	알람: 자세히 알아보세요.	Larm: Läs mer...	アラーム: 詳細...	Alarma: Más información...
Learn more about the cause of the alarm by visiting our knowledge base at	Erfahren Sie mehr über die Ursache des Alarms, indem Sie unsere Wissensdatenbank besuchen unter	Apprenez-en plus sur la cause de l'erreur en consultant notre base de données à l'adresse suivante	Scopri di più sulla causa dell'allarme visitando le conoscenze di base all'indirizzo	Lue lisää hälytyksen syystä käymällä tietopankissamme osoitteessa	Kom meer te weten over de oorzaak van het alarm door onze kennisbank te bezoeken op	Aby dowiedzieć się więcej o przyczynie alarmu, odwiedź naszą bazę wiedzy pod adresem	Få mere at vide om årsagen til alarmen ved at besøge vores vidensbase på	지식 기반을 방문하여 알람의 원인에 대해 자세히 알아보십시오.	Lär dig mer om orsaken till larmet genom att besöka vår kunskapsbank på följande adress	アラームの原因について詳しくは、次のナレッジ ベースをご覧ください。	Para saber más sobre la causa de la alarma, visite nuestra base de conocimientos en
Alarm: Job cancelled.	Alarm: Job abgebrochen.	Erreur : travail annulé	Allarme: Lavoro cancellato.	Hälytys: Job cancelled.	Alarm: Opdracht geannuleerd.	Alarm: Zadanie anulowane.	Alarm: Job aflyst.	알람: 작업이 취소되었습니다.	Larm: Jobbet avbrutet.	アラーム: ジョブがキャンセルされました。	Alarma: Trabajo cancelado.
For safety reasons, SmartBench will now cancel the job.	Aus Sicherheitsgründen bricht die SmartBench nun den Job ab.	Pour des raisons de sécurité, SmartBench va maintenant annuler le travail.	Per ragioni di sicurezza, SmartBench annullerà il lavoro.	Turvallisuussyistä SmartBench peruuttaa nyt työn.	Om veiligheidsredenen zal SmartBench de job nu annuleren.	Ze względów bezpieczeństwa SmartBench anuluje teraz obecne zadanie.	Af sikkerhedshensyn vil SmartBench nu annullere jobbet.	안전상의 이유로 SmartBench의 작업을 취소합니다.	Av säkerhetsskäl kommer SmartBench nu att avbryta jobbet.	安全上の理由から、SmartBench はジョブをキャンセルします。	Por razones de seguridad, SmartBench cancelará el trabajo.
Getting details...	Details erfahren...	Obtenir des détails...	Ottenendo dettagli...	Lisätietoja...	Meer informatie...	Pobieranie szczegółów…	Få flere oplysninger...	세부정보 가져오기..	Detaljer...	詳細を取得中...	Obteniendo detalles...
SERIAL CONNECTION ERROR	FEHLER BEI DER SERIELLEN VERBINDUNG	ERREUR DE CONNEXION	ERRORE DI CONNESSIONE SERIALE	SARJAYHTEYSVIRHE	FOUT BIJ SERIËLE VERBINDING	BŁĄD POŁĄCZENIA SZEREGOWEGO	FEJL I DEN SERIELLE FORBINDELSE	직렬연결 오류	FEL I DEN SERIELLA ANSLUTNINGEN	シリアル接続エラー	ERROR DE CONEXIÓN EN SERIE
There is a problem communicating with SmartBench.	Es gibt ein Problem bei der Kommunikation mit der SmartBench.	Il y a un problème de communication avec SmartBench.	C'è un problema di comunicazione con SmartBench.	Ongelmia yhteydenpidossa SmartBenchin kanssa.	Er is een probleem met de communicatie met SmartBench.	Wystąpił problem z komunikacją z SmartBench.	Der er et problem med kommunikationen med SmartBench.	SmartBench와 통신하는 데 문제가 있습니다.	Det finns ett problem med att kommunicera med SmartBench.	SmartBench との通信に問題があります。	Hay un problema de comunicación con SmartBench.
Please check that Z head is connected, and then reboot the console.	Bitte prüfen Sie, ob der Z-Kopf angeschlossen ist, und starten Sie die Konsole neu.	Veuillez vérifier que la tête Z est connectée, puis redémarrez la console.	Controlla che la testa Z sia collegata e poi riavvia la console.	Tarkista, että Z-pää on liitetty, ja käynnistä konsoli uudelleen.	Controleer of Z head verbonden is, en herstart dan de console.	Proszę sprawdź, czy głowica Z jest prawidłowa podłączona, a następnie zrestartuj konsolę.	Kontroller, at Z-hovedet er tilsluttet, og genstart derefter konsollen.	Z 헤드가 연결되어 있는지 확인한 다음 콘솔을 재부팅하십시오.	Kontrollera att Z-huvudet är anslutet och starta sedan om konsolen.	Z ヘッドが接続されていることを確認し、本体を再起動してください。	Por favor, comprueba que el cabezal Z está conectado y luego reinicia la consola.
Could not establish a connection on startup.	Konnte beim Starten keine Verbindung herstellen.	Impossible d'établir une connexion au démarrage.	Impossibile stabilire una connessione all'avvio.	Yhteyttä ei voitu muodostaa käynnistyksen yhteydessä.	Kon geen verbinding maken bij het opstarten.	Nie udało się nawiązać połączenia przy uruchamianiu.	Kunne ikke oprette en forbindelse ved opstart.	시작시 연결을 설정할 수 없었습니다.	Kunde inte upprätta en anslutning vid start.	起動時に接続を確立できませんでした。	No se ha podido establecer una conexión en el arranque.
Could not read line from serial buffer.	Konnte keine Zeile aus dem seriellen Puffer lesen.	Impossible de lire une ligne de la mémoire tampon série.	Impossibile leggere la linea dal buffer seriale.	Riviä ei voitu lukea sarjapuskurista.	Kon geen lijn uit seriële buffer lezen.	Nie można było odczytać linii z bufora szeregowego.	Kunne ikke læse linje fra den serielle buffer.	직렬 버퍼에서 라인을 읽을 수 없습니다.	Kunde inte läsa raden från den seriella bufferten.	シリアルバッファから行を読み取ることができませんでした。	No se ha podido leer la línea del búfer serie.
Could not process grbl response. Grbl scanner has been stopped.	Konnte grbl-Antwort nicht verarbeiten. Grbl-Scanner wurde gestoppt.	Impossible de traiter la réponse du grbl. Le scanner grbl a été arrêté.	Impossibile elaborare la risposta da grbl. Lo scanner grbl è stato interrotto.	Grbl-vastetta ei voitu käsitellä. Grbl-skanneri on pysäytetty.	Kon grbl antwoord niet verwerken. Grbl scanner is gestopt.	Nie można przetworzyć odpowiedzi grbl. Skaner grbl został zatrzymany.	Kunne ikke behandle grbl-svar. Grbl-scanneren er blevet stoppet.	GRBL 응답을 처리 할 수 ​​없습니다. GRBL 스캐너가 중지되었습니다.	Svaret från grbl kunde inte behandlas. Grbl-skannern har stoppats.	grbl 応答を処理できませんでした。 Grbl スキャナが停止されました。	No se ha podido procesar la respuesta de grbl. El escáner grbl ha sido detenido.
Could not write last command to serial buffer.	Konnte den letzten Befehl nicht in den seriellen Puffer schreiben.	Impossible d'écrire la dernière commande dans la mémoire tampon série.	Impossibile scrivere l'ultimo comando nel buffer seriale.	Viimeistä komentoa ei voitu kirjoittaa sarjapuskuriin.	Kon laatste opdracht niet naar seriële buffer schrijven.	Nie można zapisać ostatniej komendy do bufora szeregowego.	Kunne ikke skrive den sidste kommando til serial buffer.	직렬 버퍼에 마지막 명령을 쓸 수 없습니다.	Kunde inte skriva det senaste kommandot till den seriella bufferten.	最後のコマンドをシリアル バッファに書き込めませんでした。	No se ha podido escribir el último comando en el buffer serie.
SmartBench is not in an idle state.	Die SmartBench befindet sich nicht im Leerlauf.	SmartBench n'est pas en mode repos	SmartBench non è in uno stato di inattività.	SmartBench ei ole joutokäyntitilassa.	SmartBench is niet in een inactieve toestand.	SmartBench nie jest w stanie spoczynku.	SmartBench er ikke i en aktiv tilstand.	SmartBench가 정지 상태가 아닙니다.	SmartBench är inte i viloläge.	SmartBench はアイドル状態ではありません。	SmartBench no está en estado de reposo.
Cannot start job.	Kann Job nicht starten.	Impossible de démarrer le travail	Impossibile avviare il lavoro.	Tehtävää ei voida käynnistää.	Kan opdracht niet starten.	Nie można rozpocząć zadania.	Kan ikke starte jobbet.	작업을 시작할 수 없습니다.	Kan inte starta jobbet.	ジョブを開始できません。	No se puede iniciar el trabajo.
SmartBench is in an Alarm state. Please clear the machine, and then reset it.	Die SmartBench befindet sich in einem Alarmzustand. Stellen Sie sicher, dass die Maschinenfläche frei ist und resetten Sie die Maschine.	Smartbench est en mode alarme. Veuillez nettoyer la machine et la réinitialiser	SmartBench è in uno stato di Allarme. Per favore azzera la macchina e poi resettala	SmartBench on hälytystilassa. Tyhjennä kone ja nollaa se sitten.	SmartBench bevindt zich in een alarmtoestand. Maak de machine leeg, en stel hem dan opnieuw in.	SmartBench jest w stanie ALARMU. Wymagane działanie: Wyczyść urządzenie, a następnie zresetuj Smartbench.	SmartBench er i en alarmtilstand. Ryd venligst maskinen og nulstil den derefter.	SmartBench는 알람 상태입니다. 알람을 지우고 재설정하십시오.	SmartBench är i ett larmläge. Vänligen rensa maskinen och återställ den sedan.	SmartBench はアラーム状態です。マシンをクリアしてからリセットしてください。	SmartBench está en estado de alarma. Por favor, borre la máquina y luego reiníciela.
SmartBench is in Check state. Please disable by pressing the Check $C button in the G-code console.	Die SmartBench befindet sich im Check-Zustand. Bitte deaktivieren Sie ihn durch Drücken der Taste Prüfen $C in der G-Code-Konsole.	Smartbench est en mode de vérification - Pour le désactiver, appuyez sur le bouton Vérifier $C dans la console G-code	SmartBench è in stato Check. Si prega di disattivare premendo il pulsante Controllare $C nella console G-code.	SmartBench on Check-tilassa. Poista käytöstä painamalla Tarkista $C-painiketta G-koodikonsolissa.	SmartBench is in de Check status. Gelieve uit te schakelen door op de Controleren $C knop in de G-code console te drukken.	SmartBench jest w stanie KONTROLNYM. Wyłącz SmartBench naciskając przycisk "Sprawdź $C" w konsoli G-code.	SmartBench er i tilstanden Kontroller. Deaktiver den ved at trykke på knappen Tjek $C i G-kode-konsollen.	SmartBench가 확인 상태입니다. G 코드 콘솔에서 확인 $C 버튼을 눌러 비활성화하십시오.	SmartBench är i läget statuskontroll. Stäng av genom att trycka på knappen Check $C i G-code-konsolen.	SmartBench はチェック状態です。 GコードコンソールのCheck $Cボタンを押して無効にしてください。	SmartBench está en estado de comprobación. Por favor, desactívelo pulsando el botón Check $C en la consola de G-code.
SmartBench is paused. Please resume by entering ~ into the G-code console.	Die SmartBench ist pausiert. Bitte fahren Sie fort, indem Sie in der G-Code-Konsole ~ eingeben.	SmartBench est en pause. Veuillez reprendre en entrant ~ dans la console G-code.	SmartBench è in pausa. Per favore riprenda inserendo ~ nella console G-code.	SmartBench on keskeytetty. Jatka kirjoittamalla ~ G-koodikonsoliin.	SmartBench is gepauzeerd. Hervat a.u.b. door ~ in te voeren in de G-code console.	SmartBench jest wstrzymany. Proszę wznowić wpisując ~ w konsoli G-code.	SmartBench er sat på pause. Fortsæt venligst ved at indtaste ~ i G-kode-konsollen.	SmartBench가 일시 중지되었습니다. G 코드 콘솔에 ~를 입력하여 재개하십시오	SmartBench är pausad. Fortsätt genom att skriva ~ i G-code-konsolen.	SmartBench が一時停止されています。 G コード コンソールに「~」と入力して再開してください。	SmartBench está en pausa. Por favor, reanude introduciendo ~ en la consola de G-code.
SmartBench is still carrying out a command.	Die SmartBench führt noch einen Befehl aus.	SmartBench est en train d'exécuter une commande.	SmartBench sta ancora eseguendo un comando.	SmartBench suorittaa edelleen komentoa.	SmartBench is nog bezig met het uitvoeren van een commando.	SmartBench nadal wykonuje polecenie.	SmartBench er stadig ved at udføre en kommando.	SmartBench는 여전히 명령을 수행하고 있습니다.	SmartBench utför fortfarande ett kommando.	SmartBench はまだコマンドを実行中です。	SmartBench sigue llevando a cabo un comando.
Please wait for SmartBench to finish before attempting to start a job.	Bitte warten Sie, bis die SmartBench die aktuelle Aktion beendet hat, bevor Sie versuchen, einen Job zu starten.	Veuillez attendre que SmartBench termine avant de tenter de lancer unnouveau travail	Attenda che SmartBench finisca prima di tentare di iniziare un lavoro.	Odota, että SmartBench lopettaa, ennen kuin yrität aloittaa työn.	Wacht a.u.b. tot SmartBench klaar is voordat u een opdracht probeert te starten.	Poczekaj, Smartbench spróbuje rozpocząć nowe zadanie po skończeniu bieżących operacji.	Vent venligst på, at SmartBench er færdig, før du forsøger at starte et job.	작업을 시작하기 전에 SmartBench가 멈출 때 까지 기다리십시오.	Vänta tills SmartBench är klar innan du försöker starta ett jobb.	ジョブを開始する前に、SmartBench が終了するまで待ってください。	Por favor, espere a que SmartBench termine antes de intentar iniciar un trabajo.
Please enter a valid network name.	Bitte geben Sie einen gültigen Netzwerknamen ein.	Veuillez entrer un nom de réseau valide.	Preghiamo di inserire un nome di rete valido.	Syötä kelvollinen verkkonimi.	Voer een geldige netwerknaam in.	Wprowadź prawidłową nazwę sieci.	Indtast venligst et gyldigt netværksnavn.	유효한 네트워크 이름을 입력하십시오.	Ange ett giltigt nätverksnamn.	有効なネットワーク名を入力してください。	Por favor, introduzca un nombre de red válido.
Please enter a password between 8 and 63 characters.	Bitte geben Sie ein Passwort zwischen 8 und 63 Zeichen ein.	Veuillez saisir un mot de passe entre 8 et 63 caractères.	Inserisci una password tra 8 e 63 caratteri.	Anna salasana, jonka pituus on 8-63 merkkiä.	Voer een wachtwoord in tussen 8 en 63 tekens.	Wprowadź hasło o długości od 8 do 63 znaków.	Indtast venligst en adgangskode på mellem 8 og 63 tegn.	8 ~ 63 자 사이의 비밀번호를 입력하십시오.	Ange ett lösenord med mellan 8 och 63 tecken.	8～63文字のパスワードを入力してください。	Por favor, introduzca una contraseña de entre 8 y 63 caracteres.
Console will reboot to connect to network.	Die Konsole wird neu gestartet, um eine Verbindung zum Netzwerk herzustellen.	La console va redémarrer pour se connecter au réseau.	La console si riavvierà per connettersi alla rete.	Konsoli käynnistyy uudelleen saadakseen yhteyden verkkoon.	Console zal opnieuw opstarten om verbinding te maken met het netwerk.	Aby połączyć się z siecią, konsola się zrestartuje.	Konsollen genstarter for at oprette forbindelse til netværket.	콘솔을 네트워크에 연결하기 위해 재부팅 됩니다.	Konsolen startar om för att ansluta till nätverket.	コンソールが再起動してネットワークに接続します。	La consola se reiniciará para conectarse a la red.
SmartBench is raising the Z axis.	Die SmartBench hebt die Z-Achse an.	SmartBench est en train de relever l'axe Z.	SmartBench sta alzando l'asse Z.	SmartBench nostaa Z-akselia.	SmartBench tilt de Z-as op.	SmartBench przesuwa wrzeciono w osi Z.	SmartBench hæver Z-aksen.	SmartBench가 Z 축을 높이고 있습니다.	SmartBench höjer Z-axeln.	SmartBench は Z 軸を上げています。	SmartBench eleva el eje Z.
No, SmartBench is still square	Nein, die SmartBench ist immer noch rechtwinklig	Non, SmartBench est toujours d'équerre	No, SmartBench è ancora squadrato	Ei, SmartBench on edelleen neliön muotoinen	Nee, SmartBench is nog steeds vierkant	Nie, osie SmartBench są prostopadłe	Nej, SmartBench er stadig kørt i vinkel	아니요, 스마트 벤치는 여전히 정사각형입니다	Nej, SmartBench är fortfarande kalibrerad	いいえ、SmartBench はまだ正方形です	No, SmartBench sigue siendo cuadrado
Problem saving nickname!	Problem beim Speichern des Spitznamens!	Problème de sauvegarde du pseudo !	Problema di salvataggio del nickname!	Ongelma lempinimen tallentamisessa!	Probleem bij het opslaan van de nickname!	Problem z zapisaniem pseudonimu!	Problem med at gemme kaldenavn!	닉네임을 저장하는 중에 문제가 발생했습니다.	Problem med att spara smeknamn!	ニックネームの保存中に問題が発生しました!	¡Problemas para salvar el apodo!
USB First Aid	USB Erste Hilfe	Aide USB	Pronto soccorso USB	USB ensiapu	USB Eerste Hulp	Pierwsza pomoc USB	USB førstehjælp	USB 지원우선	USB Första hjälpen	USB 応急処置	Primeros auxilios USB
CNC Stylus switch	CNC-Stylus-Schalter	Interrupteur CNC Stylus	Interruttore CNC Stylus	CNC-kynän kytkin	CNC Stylus schakelaar	Przełącznik CNC Stylus	CNC Stylus-knap	CNC 스타일러스 스위치	CNC Stylus-omkopplare	CNCスタイラススイッチ	Interruptor de la aguja CNC
When enabled, you will always be asked if you are using CNC Stylus or a Router at the start of every job.	Wenn dieser Schalter aktiviert ist, werden Sie zu Beginn eines jeden Jobs gefragt, ob Sie einen CNC-Stylus oder einen Router verwenden.	Lorsqu'il est activé, il vous sera toujours demandé si vous utilisez le CNC Stylus ou une fraise au début de chaque travail.	Se abilitato, all'inizio di ogni lavoro le verrà sempre chiesto se sta usando CNC Stylus o un Elettromandrino.	Kun tämä on käytössä, sinulta kysytään aina jokaisen työn alussa, käytätkö CNC Stylusia vai reititintä.	Indien ingeschakeld, wordt u bij het begin van elke job altijd gevraagd of u CNC Stylus of een Router gebruikt.	Po włączeniu tej funkcji, na początku każdego rozpoczęgo programu pojawi się pytanie: Czy korzystasz ze Smartbench z narzędziem CNC Stylus czy z silnikiem frezarskim?	Når den er aktiveret, vil du altid blive spurgt, om du bruger CNC Stylus eller en fræser i starten af hvert job.	활성화되면 모든 작업이 시작될 때 CNC 스타일러스 또는 라우터를 사용하는지 항상 묻습니다.	När den är aktiverad kommer du alltid att bli tillfrågad om du använder CNC Stylus eller fräsmotorn i början av varje jobb.	有効にすると、すべてのジョブの開始時に、CNC スタイラスを使用しているかルーターを使用しているかを常に尋ねられます。	Cuando se habilita, siempre se le preguntará si está utilizando un Stylus CNC o un Router al comienzo de cada trabajo.
Get support	Unterstützung erhalten	Obtenir de l'aide	Ottieni supporto	Hanki tukea	Ondersteuning krijgen	Pomoc techniczna	Få hjælp	도움말	Få hjälp	支持を得ます	Obtener apoyo
Finishing install... please wait	Abschluss der Installation... bitte warten	Fin de l'installation... veuillez patienter	Finendo l'installazione... si prega di attendere	Asennuksen viimeistely... odota	Installatie wordt voltooid... even geduld a.u.b.	Kończenie instalacji... proszę czekać	Færdiggør installationen... vent venligst	설치를 완료하는 중입니다... 잠시만 기다려 주세요.	Slutför installationen… Vänligen vänta	インストールを終了しています...お待ちください	Terminando la instalación... por favor espere
DO NOT POWER OFF SMARTBENCH	DIE SMARTBENCH NICHT AUSSCHALTEN	N'ÉTEIGNEZ PAS SMARTBENCH	NON SPEGNERE SMARTBENCH	ÄLÄ SAMMUTA SMARTBENCHIÄ	SMARTBENCH NIET UITSCHAKELEN	NIE WYŁĄCZAJ SMARTBENCH	SLUK IKKE FOR SMARTBENCH	스마트 벤치 전원을 끄지 마십시오	STÄNG INTE AV SMARTBENCH	スマートベンチの電源を切らないでください	NO APAGAR SMARTBENCH
